institution,credit_code,credit_name,category,category_code,pillar,status,score,max,institution_key,pct_of_max
University College Cork,OP-2,Building Operations and Maintenance,Operations,OP,Environmental,Complete,2.08,5.0,cork,41.6
University College Cork,OP-3,Water Use,Operations,OP,Environmental,Complete,4.67,6.0,cork,77.8
University College Cork,OP-4,Ecologically Managed Grounds,Operations,OP,Environmental,Complete,4.06,5.0,cork,81.2
University College Cork,OP-5,Energy Use,Operations,OP,Environmental,Complete,5.62,10.0,cork,56.2
University College Cork,OP-6,Greenhouse Gas Emissions,Operations,OP,Environmental,Complete,10.63,16.0,cork,66.4
University College Cork,OP-7,Dining Service Procurement,Operations,OP,Environmental,Complete,5.8,8.0,cork,72.5
University College Cork,OP-8,Food Recovery,Operations,OP,Environmental,Complete,2.0,2.0,cork,100.0
University College Cork,OP-9,Sustainable Procurement System,Operations,OP,Environmental,Complete,2.15,7.0,cork,30.7
University College Cork,PA-1,Sustainability Coordination,Planning & Administration,PA,Governance,Complete,1.0,1.0,cork,100.0
University College Cork,PA-10,Student Success,Planning & Administration,PA,Social,Complete,2.5,3.0,cork,83.3
University College Cork,PA-11,"Health, Safety and Wellbeing",Planning & Administration,PA,Social,Complete,3.0,3.0,cork,100.0
University College Cork,PA-12,Employee Rights,Planning & Administration,PA,Social,Complete,3.0,3.0,cork,100.0
University College Cork,PA-13,Pay Equity and Living Wage,Planning & Administration,PA,Social,Complete,3.8,5.0,cork,76.0
University College Cork,PA-2,Commitments and Planning,Planning & Administration,PA,Governance,Complete,5.67,6.0,cork,94.5
University College Cork,PA-3,Institutional Governance,Planning & Administration,PA,Governance,Complete,4.0,4.0,cork,100.0
University College Cork,PA-4,Sustainable Investment Program,Planning & Administration,PA,Governance,Complete,3.33,4.0,cork,83.2
University College Cork,PA-5,Investment Holdings,Planning & Administration,PA,Governance,Complete,1.93,3.0,cork,64.3
University College Cork,PA-6,Institutional Climate,Planning & Administration,PA,Social,Complete,3.0,3.0,cork,100.0
University College Cork,PA-7,Racial and Ethnic Representation,Planning & Administration,PA,Social,Complete,1.2,3.0,cork,40.0
University College Cork,PA-8,Gender Parity,Planning & Administration,PA,Social,Complete,2.0,2.0,cork,100.0
University College Cork,PA-9,Affordability and Access,Planning & Administration,PA,Social,Complete,2.0,3.0,cork,66.7
University College Cork,PRE-1,Executive Letter,Report Preface,PRE,Preface,Complete,,,cork,
University College Cork,PRE-2,Points of Distinction,Report Preface,PRE,Preface,Complete,,,cork,
University College Cork,PRE-3,Institutional Characteristics,Report Preface,PRE,Preface,Complete,,,cork,
University College Cork,PRE-4,Reporting Methodologies,Report Preface,PRE,Preface,Complete,,,cork,
"University of California, Berkeley",AC-1,Sustainability Course Offerings,Academics,AC,Context,Complete,13.01,14.0,berkeley,92.9
"University of California, Berkeley",AC-2,Undergraduate Programs,Academics,AC,Context,Complete,10.22,15.0,berkeley,68.1
"University of California, Berkeley",AC-3,Graduate Programs,Academics,AC,Context,Complete,8.0,8.0,berkeley,100.0
"University of California, Berkeley",AC-4,Applied Learning,Academics,AC,Context,Complete,4.0,4.0,berkeley,100.0
"University of California, Berkeley",AC-5,Sustainability Literacy Assessment,Academics,AC,Context,Complete,4.0,4.0,berkeley,100.0
"University of California, Berkeley",AC-6,Sustainability Research,Academics,AC,Context,Complete,7.35,10.0,berkeley,73.5
"University of California, Berkeley",AC-7,Center for Sustainability Research,Academics,AC,Context,Complete,6.0,6.0,berkeley,100.0
"University of California, Berkeley",AC-8,Responsible Research and Innovation,Academics,AC,Context,Complete,7.0,7.0,berkeley,100.0
"University of California, Berkeley",EN-1,Outreach and Communications,Engagement,EN,Context,Complete,5.0,5.0,berkeley,100.0
"University of California, Berkeley",EN-2,Co-Curricular Activities,Engagement,EN,Context,Complete,9.0,9.0,berkeley,100.0
"University of California, Berkeley",EN-3,Staff Engagement and Training,Engagement,EN,Context,Complete,8.0,8.0,berkeley,100.0
"University of California, Berkeley",EN-4,Sustainability Culture Assessment,Engagement,EN,Context,Complete,1.25,3.0,berkeley,41.7
"University of California, Berkeley",EN-5,Civic Engagement,Engagement,EN,Context,Complete,8.0,8.0,berkeley,100.0
"University of California, Berkeley",EN-6,Community Partnerships,Engagement,EN,Context,Complete,9.0,9.0,berkeley,100.0
"University of California, Berkeley",EN-7,Continuing Education,Engagement,EN,Context,Complete,3.0,3.0,berkeley,100.0
"University of California, Berkeley",EN-8,Shared Facilities,Engagement,EN,Context,Complete,2.0,2.0,berkeley,100.0
"University of California, Berkeley",EN-9,Inter-Campus Collaboration,Engagement,EN,Context,Complete,3.0,3.0,berkeley,100.0
"University of California, Berkeley",IL-1,Reporting Assurance,Innovation & Leadership,IL,Bonus,Complete,0.5,1.0,berkeley,50.0
"University of California, Berkeley",IL-10,Green Athletics Program,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-11,Green Events Program,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-12,Green Laboratory Program,Innovation & Leadership,IL,Bonus,Complete,0.5,1.0,berkeley,50.0
"University of California, Berkeley",IL-14,Addressing Historic Injustices,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-2,Data Quality Certificate,Innovation & Leadership,IL,Bonus,Complete,0.5,1.0,berkeley,50.0
"University of California, Berkeley",IL-22,Trademark Licensing Monitoring and Verification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-24,Biodiversity Assessment,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-25,Grounds Certification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-26,High Performance Building Certification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-37,Sustainable Dining Recognition,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-4,Sustainability Course Designation,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-43,Sustainable Procurement Recognition,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-44,Zero Waste Certification,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-45,Bicycle Friendly Recognition,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-48,Shared Mobility Program,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-51,Sustainability Projects Fund,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-54,Sustainable Retirement Plan,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-56,Open and Shared Course Materials,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
"University of California, Berkeley",IL-63,Wellness Recognition,Innovation & Leadership,IL,Bonus,Complete,1.0,1.0,berkeley,100.0
