institution,credit_code,credit_name,category,pillar,indicator,section,field,units,value_numeric,institution_key,gri_standard,gri_disclosure,relationship,mapped_to_gri,is_intensity,comparable
Technological University Dublin,OP-13,Vehicle Fleet,Operations,Environmental,13.1 Percentage of fleet vehicles that are electric vehicles,,"Total number of cars, vans, trucks, and buses in the institution’s fleet",,3.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,14.1 Percentage of students and employees using more sustainable commuting options,,Full-time equivalent of employees,,2404.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,14.1 Percentage of students and employees using more sustainable commuting options,,Full-time equivalent student enrollment,,22841.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that avail of remote work,,1.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,"Percentage of employees that commute by bus, shuttle, or ferry",,14.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by carpool or vanpool,,7.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by cycling or another micro-mobility option,,15.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by light rail or tram,,11.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by motorcycle or moped,,1.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by rail,,9.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by walking or the equivalent,,13.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,Percentage of employees that commute by zero emission vehicle,,0.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Employee commuting data,"Percentage of employees that commute using single-occupancy car, van, or truck",,29.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,14.1 Percentage of students and employees using more sustainable commuting options,,Percentage of employees that use more sustainable commuting options,,69.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that avail of remote learning,,0.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,"Percentage of students that commute by bus, shuttle, or ferry",,34.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by carpool or vanpool,,4.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by cycling or another micro-mobility option,,5.0,tudublin,,,,False,False,True
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by light rail or tram,,21.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by motorcycle or moped,,0.0,tudublin,,,,False,False,False
Technological University Dublin,OP-14,Commute Modal Split,Operations,Environmental,Optional documentation,Student commuting data,Percentage of students that commute by rail,,13.0,tudublin,,,,False,False,True
