institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",302-1,Energy consumption within the organization,component,OP-5,Renewable stationary fuels,0,Megawatt-hours,True
"University of California, Berkeley",302-1,Energy consumption within the organization,component,OP-5,Total heating and cooling from off-site sources,255.30,Megawatt-hours,True
"University of California, Berkeley",302-1,Energy consumption within the organization,component,OP-5,On-site renewable electricity exported,0,Megawatt-hours,True
"University of California, Berkeley",302-3,Energy intensity,intensity,OP-5,Annual energy consumption per person,"1,346.02",Kilowatt-hours,True
"University of California, Berkeley",302-3,Energy intensity,intensity,OP-5,Annual energy consumption per unit of floor area,52.17,Kilowatt-hours per square meter,True
"University of California, Berkeley",303-1,Interactions with water as a shared resource,partial,OP-3,Level of physical water quantity risk for the institution’s main campus,High,,True
"University of California, Berkeley",303-1,Interactions with water as a shared resource,component,OP-3,Does the institution harvest rainwater on-site for storage and use?,Yes,,True
"University of California, Berkeley",303-3,Water withdrawal,equivalent,OP-3,Total water withdrawal,"2,092,006",Cubic meters,True
"University of California, Berkeley",303-3,Water withdrawal,component,OP-3,Potable water from off-site sources,"2,092,006",Cubic meters,True
"University of California, Berkeley",303-3,Water withdrawal,component,OP-3,Potable water from on-site sources,0,Cubic meters,True
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,equivalent,OP-6,Annual scope 1 GHG emissions,,,False
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from stationary combustion,"134,957",Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from mobile combustion,"1,676",Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG fugitive emissions,76,Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG process emissions,,,False
"University of California, Berkeley",305-1,Direct (Scope 1) GHG emissions,partial,OP-6,GHG emissions from biogenic sources,0,Metric tons of CO2 equivalent,True
"University of California, Berkeley",305-2,Energy indirect (Scope 2) GHG emissions,equivalent,OP-6,Annual scope 2 GHG emissions,,,False
