institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
Technological University Dublin,2-24,Embedding policy commitments,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"TU Dublin Sustainability Education team (Ref 1) is driving the sustainability transformation of the curriculum, professional development and upskilling of staff and students. AASHE recognises TU Dublin as the first Centre for Sustainability Across the Curriculum in Europe (Ref 2). Other major recognitions include: (i) sustainability educaton framework (Ref 3), (ii) the start of the University Education Model led by Academic Affair (Ref 4), (iii) the participation to the Sulitest (Ref 1), (iv) the development of a Sustainability Toolkit (Ref 3), (v) the partnership with UNITAR (Ref 7), (vi) the re-iterated funding of the SATLE project (Ref 8) TU Dublin Sustainable Campus programme (https://www.tudublin.ie/explore/about-the-university/sustainability/sustainable-campus/) bi-annually report the Climate Action Roadmap (CAR) (Ref 9). This is a significant effort that looks at contiuously measuring and reporting Scope 1, 2, and 3 carbon emissions and planning the decarbonisation of the university. A major recognition of the wholistic sustainability measures across campuses is seen with TU Dublin raising the Green Flag at all campuses (Ref 10). TU Dublin Sustainability Intelligence (Ref 11) leads the Digital Transformation programme of the unversity on the sustainability theme. The team looks at gathering all data from all the university to assess and report on the sustainability level of the university, and develop new digital methodology to enhance and consolidate the assessment and report on all sustainability aspects. The sustainability digitalisation programme already produced three web applications that enable to assess the sustainability in the curriculum (analysing the curriculum databases), sustainability in research (analysing all research outputs in the TU Dublin research repository and Scopus), and sustainability in communication (analysing website content). These web apps assess the sustainablity level (Focused, Incluside, or Nothing) of text among the 17 UN SDG. These applications are available to all staff, students, and the public. Another project within the programme is ""Towards a Sustainability University Campus"" (Ref 12) which looks at digitalisation the operation of TU Dublin buildings and campuses with outputs feeding into scope 1, 2 and 3 outputs reported in the Climate Action Roadmap. Further background on TU Dublin ""Digitalisation Transformation"" programme of the universiy: TU Dublin Strategic Plan (Ref 13 and Ref 14) is build 3 sustainability pillars, namely People, Planet, and Partnership. A fouth pillar is ""Enablers"" and includes the ""Digital Transformation"" programme of the university that is made evident across a non-exhaustive list of university activities such as (i) the N-TUTORR project on the Digital Transformation in Teaching and Learning (Ref 15) leading to TU Dublin policy and guidance on Digital Education (Ref 16), (ii) the Technology Services Digital Transformation Programme 24/25 (Ref 17), and (iii) digital transformation courses delivered by various schools in the Faculty of Computing, Digital and Data (Ref 18). URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/ Ref 2: https://www.tudublin.ie/explore/news/tu-dublin-is-recognised-as-the-first-centre-for-sustainability-across-the-curriculum-in-europe.html Ref 3: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/sustainability-toolkit/ Ref 4: https://www.tudublin.ie/explore/about-the-university/academic-affairs/lta/lta-resources/ Ref 7: https://www.tudublin.ie/explore/about-the-university/sustainability/about/news-and-events/tu-dublin-and-unitar-establish-strategic-partnership-.php Ref 8: https://www.tudublin.ie/explore/about-the-university/academic-affairs/education-innovation-projects/past-projects/satle2/ Ref 9: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/climate-action-roadmap/ Ref 10: https://www.tudublin.ie/explore/news/tu-dublin-raise-the-green-flag-at-all-campuses-.html#:~:text=TU%20Dublin%20is%20the%20first,strategic%20milestone%20for%20the%20University Ref 11: https://www.tudublin.ie/explore/about-the-university/sustainability/about/sustainability-team/sustainability-intelligence/ Ref 12: https://www.tudublin.ie/explore/about-the-university/sustainability/strategic-projects/action-research/towards-a-sustainable-university-campus/ Ref 13: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/documents/Strategic-Plan-2024-2028-FINAL.pdf Ref 14: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref 15: https://www.tudublin.ie/explore/about-the-university/academic-affairs/ntutorr/themes/digital-transformation-in-teaching-and-learning/ Ref 16: https://www.tudublin.ie/explore/about-the-university/academic-affairs/digital-education/ Ref 17: https://www.tudublin.ie/connect/technology-services/about-us/enterprise-systems-and-planning/ict-project-office/technology-services-digital-transformation-programme-24-25/ Ref 18: https://www.tudublin.ie/explore/faculties-and-schools/computing-digital-data/",,True
Technological University Dublin,2-25,Processes to remediate negative impacts,partial,PA-12,Does the institution publish information on grievance resolution in a format that is accessible to all employees?,Yes,,True
Technological University Dublin,2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Does the institution publish information on whistleblower protections in a format that is accessible to all employees?,Yes,,True
Technological University Dublin,2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Narrative and/or website URL providing an overview of the institution’s published measures to protect employee rights,"This is a legal obligation covered by Article 11 of the European Convention on Human Rights. In addition to many HR policies, there is support available through unions or the Workplace Relations office.",,True
Technological University Dublin,2-28,Membership associations,partial,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,The following URL and documents highlight our sustainability commitments that include reporting requirements: Strategic Intent 2030 (Ref 1) Sustainability Strategy (Ref 2) Climate Action Roadmap (updated every 6 to 12 months) (Ref 3) TU-Dublin-UN-Sustainability-Goals-Progress-Reports (Ref 4 and Ref 5) URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref 2: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/ Ref 3: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/climate-action-roadmap/ Ref 4: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/creating-impact/documents/TU-Dublin-UN-Sustainability-Goals-Progress-Report-2020.pdf Ref 5: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/creating-impact/documents/TU-Dublin-UN-Sustainability-Goals-Progress-Report-2021.pdf,,True
Technological University Dublin,2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult students on institutional decisions, plans, or policies","Students in TU Dublin sit on a wide variety of formal committees, working groups, and engage in University-owned surveys on a regular basis. Student representation is virtually always filtered through the Students' Union. Students are engaged in various university groups: USC; Green campus; Student finance committee; Research ethics committee; EUt+ Governing Body",,True
Technological University Dublin,2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult academic staff on institutional decisions, plans, or policies","The University committee that decides on resource allocation is the University Executive team, which has five academic Deans on the group (Ref 1). TU Dublin academic staff are actively consulted on decsions via multiple goverance committees, such as Faculty and School Boards, the academic quality processes and procedures, e.g. Academic Quality Assurance and Enhancement Committee (Ref 2). TU Dublin also has a strong trade union for academic staff which is consulted on relevant decisions as a social partner (Ref 3). URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/uet/ Ref 2: https://www.tudublin.ie/media/website/explore/about-the-university/academic-affairs/documents/AQAEC-Terms-of-Reference-V-1.1.pdf Ref 3: https://www.tudublin.ie/for-staff/human-resources/workplace-relations/",,True
Technological University Dublin,2-29,Approach to stakeholder engagement,component,PA-3,"Narrative and/or website URL outlining the ad hoc mechanisms used during the previous three years to consult local community members on institutional decisions, plans, or policies","The Stoneybatter SEC ""Cosybatter"" is engaged with the Grangegorman Development Agency (managing TU Dublin City - Grangegorman campus) and TU Dublin Estates & Campus Planning, Decarbonisation and Sustainability Intelligence for the provision of renewable energy that may be produced from TU Dublin Grangegorman geothermal project and distributed to loac communities through TU DUblin district heating network. In other words the community have a direct voice into the planning of such decarbonisation project.",,True
Technological University Dublin,2-29,Approach to stakeholder engagement,component,PA-3,Does the institution have one or more ongoing bodies through which local community-based organizations not affiliated with the institution can democratically participate in its governance?,Yes,,True
Technological University Dublin,3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address campus operations?,Yes,,True
Technological University Dublin,3-2,List of material topics,partial,PA-2,"Has the institution adopted one or more measurable sustainability objectives that address teaching, learning, and/or research?",Yes,,True
Technological University Dublin,3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address racial equity and/or social justice?,Yes,,True
Technological University Dublin,3-3,Management of material topics,partial,PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,"1. TU Dublin Strategic Plan 2024 – 2028 (Ref 1) include clear measurable sustainability objectives for which the sponsor is the VP of Sustainability, and the lead is Rosie Webb. In page 9, our campus related targets are 46.5% reduction in GHG emissions by 2028, and 45% increase in energy efficiency by 2028. These targets are in line with the Climate Action Plan 2021 (CAP21) whereby the public sector must lead by example on climate action to reach the target of reducing Ireland’s greenhouse gas emissions by 51% by 2030 and becoming climate neutral no later than 2050. (Ref 2) URL References: Ref 1: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/documents/Strategic-Plan-2024-2028-FINAL.pdf Ref 2: https://www.gov.ie/en/publication/337b6-public-sector-climate-action-mandate/",,True
Technological University Dublin,3-3,Management of material topics,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"TU Dublin Sustainability Education team (Ref 1) is driving the sustainability transformation of the curriculum, professional development and upskilling of staff and students. AASHE recognises TU Dublin as the first Centre for Sustainability Across the Curriculum in Europe (Ref 2). Other major recognitions include: (i) sustainability educaton framework (Ref 3), (ii) the start of the University Education Model led by Academic Affair (Ref 4), (iii) the participation to the Sulitest (Ref 1), (iv) the development of a Sustainability Toolkit (Ref 3), (v) the partnership with UNITAR (Ref 7), (vi) the re-iterated funding of the SATLE project (Ref 8) TU Dublin Sustainable Campus programme (https://www.tudublin.ie/explore/about-the-university/sustainability/sustainable-campus/) bi-annually report the Climate Action Roadmap (CAR) (Ref 9). This is a significant effort that looks at contiuously measuring and reporting Scope 1, 2, and 3 carbon emissions and planning the decarbonisation of the university. A major recognition of the wholistic sustainability measures across campuses is seen with TU Dublin raising the Green Flag at all campuses (Ref 10). TU Dublin Sustainability Intelligence (Ref 11) leads the Digital Transformation programme of the unversity on the sustainability theme. The team looks at gathering all data from all the university to assess and report on the sustainability level of the university, and develop new digital methodology to enhance and consolidate the assessment and report on all sustainability aspects. The sustainability digitalisation programme already produced three web applications that enable to assess the sustainability in the curriculum (analysing the curriculum databases), sustainability in research (analysing all research outputs in the TU Dublin research repository and Scopus), and sustainability in communication (analysing website content). These web apps assess the sustainablity level (Focused, Incluside, or Nothing) of text among the 17 UN SDG. These applications are available to all staff, students, and the public. Another project within the programme is ""Towards a Sustainability University Campus"" (Ref 12) which looks at digitalisation the operation of TU Dublin buildings and campuses with outputs feeding into scope 1, 2 and 3 outputs reported in the Climate Action Roadmap. Further background on TU Dublin ""Digitalisation Transformation"" programme of the universiy: TU Dublin Strategic Plan (Ref 13 and Ref 14) is build 3 sustainability pillars, namely People, Planet, and Partnership. A fouth pillar is ""Enablers"" and includes the ""Digital Transformation"" programme of the university that is made evident across a non-exhaustive list of university activities such as (i) the N-TUTORR project on the Digital Transformation in Teaching and Learning (Ref 15) leading to TU Dublin policy and guidance on Digital Education (Ref 16), (ii) the Technology Services Digital Transformation Programme 24/25 (Ref 17), and (iii) digital transformation courses delivered by various schools in the Faculty of Computing, Digital and Data (Ref 18). URL References: Ref 1: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/ Ref 2: https://www.tudublin.ie/explore/news/tu-dublin-is-recognised-as-the-first-centre-for-sustainability-across-the-curriculum-in-europe.html Ref 3: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/sustainability-toolkit/ Ref 4: https://www.tudublin.ie/explore/about-the-university/academic-affairs/lta/lta-resources/ Ref 7: https://www.tudublin.ie/explore/about-the-university/sustainability/about/news-and-events/tu-dublin-and-unitar-establish-strategic-partnership-.php Ref 8: https://www.tudublin.ie/explore/about-the-university/academic-affairs/education-innovation-projects/past-projects/satle2/ Ref 9: https://www.tudublin.ie/explore/about-the-university/sustainability/vision--progress/sustainability-strategy/climate-action-roadmap/ Ref 10: https://www.tudublin.ie/explore/news/tu-dublin-raise-the-green-flag-at-all-campuses-.html#:~:text=TU%20Dublin%20is%20the%20first,strategic%20milestone%20for%20the%20University Ref 11: https://www.tudublin.ie/explore/about-the-university/sustainability/about/sustainability-team/sustainability-intelligence/ Ref 12: https://www.tudublin.ie/explore/about-the-university/sustainability/strategic-projects/action-research/towards-a-sustainable-university-campus/ Ref 13: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/documents/Strategic-Plan-2024-2028-FINAL.pdf Ref 14: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref 15: https://www.tudublin.ie/explore/about-the-university/academic-affairs/ntutorr/themes/digital-transformation-in-teaching-and-learning/ Ref 16: https://www.tudublin.ie/explore/about-the-university/academic-affairs/digital-education/ Ref 17: https://www.tudublin.ie/connect/technology-services/about-us/enterprise-systems-and-planning/ict-project-office/technology-services-digital-transformation-programme-24-25/ Ref 18: https://www.tudublin.ie/explore/faculties-and-schools/computing-digital-data/",,True
Technological University Dublin,3-3,Management of material topics,partial,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
Technological University Dublin,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Percentage of employees that receive remuneration equivalent to at least a living wage,100,,True
Technological University Dublin,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Living wage,13.85,,True
Technological University Dublin,302-1,Energy consumption within the organization,equivalent,OP-5,Total annual energy consumption,"38,391",Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,component,OP-5,Total electricity consumption,"15,053",Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,component,OP-5,Total stationary fuel consumption,"21,072",Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,partial,OP-5,Annual renewable energy consumption,"8,397.21",Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,component,OP-5,Renewable stationary fuels,0.21,Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,component,OP-5,Total heating and cooling from off-site sources,"2,266",Megawatt-hours,True
Technological University Dublin,302-1,Energy consumption within the organization,component,OP-5,On-site renewable electricity exported,0,Megawatt-hours,True
Technological University Dublin,302-3,Energy intensity,intensity,OP-5,Annual energy consumption per person,"1,520.74",Kilowatt-hours,True
Technological University Dublin,302-3,Energy intensity,intensity,OP-5,Annual energy consumption per unit of floor area,182.05,Kilowatt-hours per square meter,True
Technological University Dublin,303-1,Interactions with water as a shared resource,partial,OP-3,Level of physical water quantity risk for the institution’s main campus,Medium-high,,True
Technological University Dublin,303-1,Interactions with water as a shared resource,component,OP-3,Does the institution harvest rainwater on-site for storage and use?,Yes,,True
Technological University Dublin,303-3,Water withdrawal,equivalent,OP-3,Total water withdrawal,"56,570",Cubic meters,True
Technological University Dublin,303-3,Water withdrawal,component,OP-3,Potable water from off-site sources,"56,570",Cubic meters,True
Technological University Dublin,303-3,Water withdrawal,component,OP-3,Potable water from on-site sources,0,Cubic meters,True
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,equivalent,OP-6,Annual scope 1 GHG emissions,,,False
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from stationary combustion,"3,728",Metric tons of CO2 equivalent,True
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG emissions from mobile combustion,2,Metric tons of CO2 equivalent,True
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG fugitive emissions,55,Metric tons of CO2 equivalent,True
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,component,OP-6,Scope 1 GHG process emissions,0,Metric tons of CO2 equivalent,True
Technological University Dublin,305-1,Direct (Scope 1) GHG emissions,partial,OP-6,GHG emissions from biogenic sources,,,False
Technological University Dublin,305-2,Energy indirect (Scope 2) GHG emissions,equivalent,OP-6,Annual scope 2 GHG emissions,,,False
Technological University Dublin,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (market-based),"4,992",Metric tons of CO2 equivalent,True
Technological University Dublin,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of electricity (location-based),0,Metric tons of CO2 equivalent,True
Technological University Dublin,305-2,Energy indirect (Scope 2) GHG emissions,component,OP-6,Scope 2 GHG emissions from off-site sources of heating and cooling,181,Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from business travel,410,Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from commuting,"10,694",Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from purchased goods and services,"26,269",Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from capital goods,83,Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from waste generated in operations,9,Metric tons of CO2 equivalent,True
Technological University Dublin,305-3,Other indirect (Scope 3) GHG emissions,component,OP-6,Scope 3 GHG emissions from fuel- and energy-related activities not included in scope 1 or scope 2,0,Metric tons of CO2 equivalent,True
Technological University Dublin,305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per person,354.84,Kilograms of CO2 equivalent,True
Technological University Dublin,305-4,GHG emissions intensity,intensity,OP-6,Annual scope 1 and 2 GHG emissions per unit of floor area,42.48,Kilograms per square meter,True
Technological University Dublin,305-5,Reduction of GHG emissions,partial,OP-6,Percentage reduction in scope 1 and 2 GHG emissions from baseline,10.99,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-11,"Does the institution have a surplus program through which institution-owned items that are no longer needed are stored for eventual sale, donation, or reuse?",Yes,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have or participate in a reuse program through which employees and/or students can donate personal items for redistribution?,Yes,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-11,Has the institution eliminated the on-site use of at least one form of single-use disposable plastic?,Yes,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-11,Does the institution have a hazardous waste management program or protocol that includes measures to minimize or reduce the use of hazardous materials?,Yes,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-11,Narrative and/or website URL providing an overview of the institution’s composting program,Some of TU Dublin food service providers provide compostable alternatives to single-use disposable plastic with products certified against the “EN 13432 Certified Bioplastics” standard. C ompostable alternatives to single-use disposable plastic can then be disposed of in the organic bins collected by our waste service provider (Panda). Most alternative to single-use disposable plastic are paper based (e.g. paper cups). Dry paper-based waste must be disposed in the paper bins (not the compostable bins).,,True
Technological University Dublin,306-2,Management of significant waste-related impacts,component,OP-12,Does the institution have sufficient data on construction and demolition waste to pursue this indicator?,Yes,,True
Technological University Dublin,306-3,Waste generated,partial,OP-12,Annual non-hazardous waste generated,"1,768.85",Metric tons,True
Technological University Dublin,306-3,Waste generated,component,OP-12,Annual construction and demolition waste generated,"1,244.08",Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Total non-hazardous waste diverted from disposal,"1,452.64",Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste recycled,691.73,Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste composted,56.01,Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste prepared for reuse,704.90,Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Total construction and demolition waste diverted from disposal,"1,121.85",Metric tons,True
Technological University Dublin,306-4,Waste diverted from disposal,component,OP-12,Construction and demolition waste recycled,531.95,Metric tons,True
Technological University Dublin,306-5,Waste directed to disposal,component,OP-12,Non-hazardous waste disposed of to a landfill or incinerator,316.21,Metric tons,True
Technological University Dublin,306-5,Waste directed to disposal,component,OP-12,Construction and demolition waste disposed of to a landfill or incinerator,122.23,Metric tons,True
Technological University Dublin,308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Does the institution’s supplier code of conduct include one or more expectations in regard to environmental impact that exceed or are additional to regulatory compliance?,Yes,,True
Technological University Dublin,308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Percentage of bid solicitations that identify supplier sustainability considerations,0,,True
Technological University Dublin,401-2,Benefits provided to full-time employees that are not provided to temporary or part-time employees,partial,PA-12,Percentage of employees eligible for paid all-gender family/medical leave,100,,True
Technological University Dublin,401-3,Parental leave,partial,PA-12,Number of weeks of paid maternity leave,26,,True
Technological University Dublin,401-3,Parental leave,partial,PA-12,Narrative and/or website URL providing an overview of the maternity leave options available to employees,"The Maternity Protection Acts cover the entitlements for allstaff who are pregnant, have recently given birth, or who are breastfeeding. This is inclusive of transgender males who have obtained a gender recognition certificate in accordance with the Gender Recognition Act 2015. All staff who commence maternity leave are entitled to 26 consecutive weeks paid* maternity leave (Ref 1). URL References: Ref 1: https://www.tudublin.ie/media/intranet/hr/policies/Maternity-Leave-HRP021-22.05.24.pdf",,True
Technological University Dublin,403-1,Occupational health and safety management system,partial,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,"TU Dublin has established a comprehensive safety management system (Ref 1) that includes the University Safety, Health and Welfare (SHW) Steering Committee, Campus SHW Committees, and various working groups. These committees ensure effective coordination and management of health and safety issues, promote employee participation, and facilitate compliance with relevant legislation. URL References: Ref 1: https://www.tudublin.ie/for-staff/safety-health-welfare/safety-hub/committees-and-working-groups/",,True
Technological University Dublin,403-3,Occupational health services,partial,PA-11,Does the institution make physical health services available to employees?,Yes,,True
Technological University Dublin,403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Does the institution have an institution-wide health and safety committee or network of committees that brings together workers and management in the development and review of workplace health and safety policies and procedures?,Yes,,True
Technological University Dublin,403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,"TU Dublin has established a comprehensive safety management system (Ref 1) that includes the University Safety, Health and Welfare (SHW) Steering Committee, Campus SHW Committees, and various working groups. These committees ensure effective coordination and management of health and safety issues, promote employee participation, and facilitate compliance with relevant legislation. URL References: Ref 1: https://www.tudublin.ie/for-staff/safety-health-welfare/safety-hub/committees-and-working-groups/",,True
Technological University Dublin,403-6,Promotion of worker health,component,PA-11,Does the institution make physical health services available to employees?,Yes,,True
Technological University Dublin,403-6,Promotion of worker health,component,PA-11,Does the institution make behavioral health services available to employees?,Yes,,True
Technological University Dublin,403-6,Promotion of worker health,component,PA-11,Does the institution make free or reduced cost fitness activities available to employees?,Yes,,True
Technological University Dublin,403-6,Promotion of worker health,component,PA-11,Does the institution prohibit smoking and tobacco use across the entire campus?,Yes,,True
Technological University Dublin,403-6,Promotion of worker health,component,PA-11,Does the institution make contemplative and/or spiritual activities available to employees?,Yes,,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for executive staff,"0 Revised on Nov. 24, 2025",,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of executive staff that identify as women or other marginalized gender identities,41.09,,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent academic staff that identify as women or other marginalized gender identities,41.55,,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent non-academic staff that identify as women or other marginalized gender identities,56.40,,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for academic staff,"0 Revised on Nov. 24, 2025",,True
Technological University Dublin,405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for non-academic staff,"0 Revised on Nov. 24, 2025",,True
