url,institution,credit_code,field,original_name,local_file,bytes,status,note,extract_status,text_chars
https://reports.aashe.org/media/secure/1646/9/843/8924/PRE_2_towards_a_sustainable_university_campus.jpg,Technological University Dublin,PRE-2,"A photograph or document associated with the third featured program, initiative, or accomplishment",PRE_2_towards_a_sustainable_university_campus.jpg,693eb9ea3af59f2a,498000,downloaded,image/jpeg,skipped_image,0
https://reports.aashe.org/media/secure/1646/9/846/8950/AC_1.1_sustainability_course_offerings_revised.xlsx,Technological University Dublin,AC-1,Annotated list or inventory of the institution’s sustainability course offerings by department,AC_1.1_sustainability_course_offerings_revised.xlsx,f5fcd07bae9c2aea.xlsx,49117,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,76468
https://reports.aashe.org/media/secure/1646/9/846/8955/AC_1.2_Sustainability_Course_Listings_Report_20241004.pdf,Technological University Dublin,AC-1,Publication where the institution’s sustainability course listings are maintained,AC_1.2_Sustainability_Course_Listings_Report_20241004.pdf,a2094f20cadd42bd.pdf,11535334,downloaded,application/pdf,ok,158346
https://reports.aashe.org/media/secure/1646/9/847/8963/AC_2.1_TU-Dublin-Strategic-Intent-2030.pdf,Technological University Dublin,AC-2,Publication detailing the institutional learning outcomes for undergraduate students,AC_2.1_TU-Dublin-Strategic-Intent-2030.pdf,992fad9860b940f1.pdf,2437030,downloaded,application/pdf,ok,17780
https://reports.aashe.org/media/secure/1646/9/847/8981/AC_1.1_sustainability_course_offerings_revised.xlsx,Technological University Dublin,AC-2,Additional documentation for this credit,AC_1.1_sustainability_course_offerings_revised.xlsx,e194cb5f2d1c2742.xlsx,49117,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,76468
https://reports.aashe.org/media/secure/1646/9/851/9020/AC_6.1_Annotated_List_of_Sustainability_Research_by_DPT_revised.xlsm,Technological University Dublin,AC-6,Annotated list or inventory of the institution’s sustainability research by department,AC_6.1_Annotated_List_of_Sustainability_Research_by_DPT_revised.xlsm,dd277ee7fc821d32,124924,downloaded,application/octet-stream,error,0
https://reports.aashe.org/media/secure/1646/9/853/9056/AC_8.4_open_access_policy.pdf,Technological University Dublin,AC-8,Copy of the institution’s open access policies,AC_8.4_open_access_policy.pdf,256d05e95ca5476a.pdf,1539077,downloaded,application/pdf,no_text_layer,0
https://reports.aashe.org/media/secure/1646/9/853/9062/AC_8.2_Research_Impact_Framework.pdf,Technological University Dublin,AC-8,Additional documentation for this credit,AC_8.2_Research_Impact_Framework.pdf,2a8cf6ebef86872b.pdf,14925705,downloaded,application/pdf,ok,59543
https://reports.aashe.org/media/secure/1646/9/858/9137/EN_5.3_NSMF_2024_Event_Report_20240628.docx,Technological University Dublin,EN-5,Documentary evidence of the institution’s advocacy for public policies to advance sustainability,EN_5.3_NSMF_2024_Event_Report_20240628.docx,2ecc1420fb3ce526.docx,18479899,downloaded,application/vnd.openxmlformats-officedocument.wordprocessingml.document,ok,34706
https://reports.aashe.org/media/secure/1646/9/859/9146/EN_6.3_Approaches-and-models-of-partnership-working.pdf,Technological University Dublin,EN-6,Publication that includes the community partnership guidelines,EN_6.3_Approaches-and-models-of-partnership-working.pdf,ebfd37474b018c2e.pdf,2999008,downloaded,application/pdf,ok,335222
https://reports.aashe.org/media/secure/1646/9/868/9397/OP_6.1_Climate-Action-Roadmap-June-2024.pdf,Technological University Dublin,OP-6,Copy of the institution’s GHG emissions inventory,OP_6.1_Climate-Action-Roadmap-June-2024.pdf,06759265db7f6c31.pdf,4774767,downloaded,application/pdf,ok,123806
https://reports.aashe.org/media/secure/1646/9/868/9443/OP_6.1_Climate-Action-Roadmap-June-2024.pdf,Technological University Dublin,OP-6,Copy of the institution’s baseline GHG emissions inventory,OP_6.1_Climate-Action-Roadmap-June-2024.pdf,e12f131c60fbbc67.pdf,4774767,downloaded,application/pdf,ok,123806
https://reports.aashe.org/media/uploads/test_cases/OP7_OP8_Food_and_Beverage_Purchasing_Inventory_Revised_2.xlsx,Technological University Dublin,OP-7,Inventory of qualifying food and beverage purchases,OP7_OP8_Food_and_Beverage_Purchasing_Inventory_Revised_2.xlsx,4cfa44a6ab3f0d32.xlsx,220804,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,26081
https://reports.aashe.org/media/secure/1646/9/871/9470/Green_Public_Procurement___TU_Dublin.pdf,Technological University Dublin,OP-9,Document supporting the percentage of bid solicitations reported,Green_Public_Procurement___TU_Dublin.pdf,a028c969d0ff9543.pdf,469365,downloaded,application/pdf,ok,2495
https://reports.aashe.org/media/secure/1646/9/884/9773/PA_7.1_7.2_7.3_Racial_and_Ethnic_Diversity_Worksheet.xlsx,Technological University Dublin,PA-7,Completed racial and ethnic diversity worksheet,PA_7.1_7.2_7.3_Racial_and_Ethnic_Diversity_Worksheet.xlsx,c17e1e106fd66f8d.xlsx,133241,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,7318
https://reports.aashe.org/media/secure/1646/9/887/9827/PA_10.3_Progression_rates_by_Ethnicity.xlsx,Technological University Dublin,PA-10,"Document that includes completion rates for each marginalized racial, ethnic, and/or Indigenous group served by the institution",PA_10.3_Progression_rates_by_Ethnicity.xlsx,053e1f84a5c9e905.xlsx,23761,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,1413
https://reports.aashe.org/media/secure/1646/9/893/9932/AC_1.1_sustainability_course_offerings.xlsm,Technological University Dublin,IL-3,Copy of the sustainability course inventory,AC_1.1_sustainability_course_offerings.xlsm,53670d022c9ea8bc,4159879,downloaded,application/octet-stream,error,0
https://reports.aashe.org/media/secure/1646/9/896/9947/AC_6.1_Annotated_List_of_Sustainability_Research_by_Department.xlsm,Technological University Dublin,IL-6,Copy of the sustainability research inventory,AC_6.1_Annotated_List_of_Sustainability_Research_by_Department.xlsm,380b39ef7a6bd58b,4323658,downloaded,application/octet-stream,error,0
https://reports.aashe.org/media/secure/1646/9/908/10005/IL_18_Sustainability_Continuing_Courses_inventory.xlsx,Technological University Dublin,IL-18,Copy of the continuing education course/program inventory,IL_18_Sustainability_Continuing_Courses_inventory.xlsx,59d99eb233a9a99c.xlsx,86700,downloaded,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,ok,477318
