institution,credit_code,category,pillar,credit_name,indicator,section,field,value,units,value_numeric,value_type,links
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.3 Support for academic staff to integrate sustainability into the curriculum,,"Narrative and/or website URL providing an overview the institution’s sustainability-focused community of practice, sustainability across the curriculum training program, or equivalent support program","Support for integrating sustainability in the curriculum in UCC has taken a number of form: Desk-based research and consultations with students and staff to shape the design and subsequent development of an online SDG Toolkit for Teaching and Learning and related 90-minute workshop. Consultations with staff and students through the 52 further and higher education partners that comprise the Irish Green Campus network to surface the challenges and opportunities that exist in our current teaching and learning system in relation to integrating a comprehensive Education for Sustainable Development (ESD) curriculum across all third-level education institutes in Ireland Development of a self-paced, flexible professional development offering to support staff to think reflectively, to learn with peers and craft curricula to support the participatory modes of engagement required to effectively integrate the SDGs into assessment, teaching and learning and establish action-oriented approaches. Recruitment of an Education for Sustainable Development Officer to develop and implement a series of initiatives with staff and students to embed education for sustainable development across the curriculum in UCC.",,,text_long,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,1.3 Support for academic staff to integrate sustainability into the curriculum,,Points earned for indicator AC 1.3,3,,3.0,number,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,Optional documentation,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,AC-1,AC,Context,Sustainability Course Offerings,Optional documentation,,Additional documentation for this credit,,,,not_reported,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Has the institution established institutional learning outcomes for its undergraduate students?,Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Online resource detailing the institutional learning outcomes for undergraduate students,https://www.ucc.ie/en/graduateattributes/,,,url,https://www.ucc.ie/en/graduateattributes/
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Publication detailing the institutional learning outcomes for undergraduate students,,,,not_reported,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-focused?,Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-focused,"UCC's Graduate Attributes have been created to allow each college, school and discipline to adopt them and embed them explicitly into the curriculum, and for each Student Experience Unit to encompass and embed within extra-curricular and co-curricular activities. Based on extensive consultation with stakeholders, the following core graduate attributes have been prioritised in UCC: Creators, evaluators and communicators of knowledge Independent and creative thinkers Digitally Fluent Socially Responsible Effective global citizens, who recognise and challenge inequality The last two of these attributes can be defined as sustainability focused. As evidenced in the descriptions on this page https://www.ucc.ie/en/graduateattributes/staff/embeddinggraduateattributes/"", the Socially Responsible attribute helps students to understand that that: ""UCC promotes a focus on creating awareness of how individual disciplines and fields of study all play a role in shaping future outcomes: social, health, environmental, and economic. As a socially responsible graduate, you are able to look at broader issues, community contexts and potential impacts of your field of practice and understand how your actions can enhance the wellbeing of others to make a valuable and sustainable contribution to society. As a socially responsible person, you embrace opportunities to identify, devise and implement just and sustainable solutions to real-life problems in your communities and at a global level."" A number of resources have been provided for students that help them better understand these attributes and an example has been added to the files section. The UCC Office of Sustainability and Climate Action also worked with the Graduate Attributes Programme to develop a GAP for Goals Learning Experience, which specifically outlines how the GAP programme and student experience in UCC can contribute to each of the Sustainable Development Goals. More information on this programme can be found here: https://www.ucc.ie/en/sustainability-climate-action/sdgs/sdgsandgraduateattributes/",,,text_long,https://www.ucc.ie/en/sustainability-climate-action/sdgs/sdgsandgraduateattributes/
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-supportive?,Yes,,,boolean,
University College Cork,AC-2,AC,Context,Undergraduate Programs,2.1 Institutional sustainability learning outcomes for undergraduate students,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-supportive,"The ""Effective Global Citizen"" attribute helps students to understand that: ""UCC provides opportunities for you to be ethical, acting with integrity in intellectual, professional, community and global pursuits. You will nurture personal integrity, values, beliefs and your own moral code. You critically consider the values and understandings that influence all decision making processes and are able to recognise and challenge inequality in all areas of life. As an effective global citizen who recognises and challenges inequality, you display an ethical approach in your intellectual, professional and personal pursuits.""",,,text_long,
