institution,stars_version,pillar,category,category_code,credit_code,credit_name,status,score,max
University College Cork,3.0,Context,Engagement,EN,EN-4,Sustainability Culture Assessment,Complete,1.5,3.0
University College Cork,3.0,Context,Engagement,EN,EN-5,Civic Engagement,Complete,7.0,8.0
University College Cork,3.0,Context,Engagement,EN,EN-6,Community Partnerships,Complete,8.0,9.0
University College Cork,3.0,Context,Engagement,EN,EN-7,Continuing Education,Complete,3.0,3.0
University College Cork,3.0,Context,Engagement,EN,EN-8,Shared Facilities,Complete,2.0,2.0
University College Cork,3.0,Context,Engagement,EN,EN-9,Inter-Campus Collaboration,Complete,3.0,3.0
University College Cork,3.0,Environmental,Operations,OP,OP-1,Building Design and Construction,Complete,2.95,3.0
University College Cork,3.0,Environmental,Operations,OP,OP-2,Building Operations and Maintenance,Complete,2.08,5.0
University College Cork,3.0,Environmental,Operations,OP,OP-3,Water Use,Complete,4.67,6.0
University College Cork,3.0,Environmental,Operations,OP,OP-4,Ecologically Managed Grounds,Complete,4.06,5.0
University College Cork,3.0,Environmental,Operations,OP,OP-5,Energy Use,Complete,5.62,10.0
University College Cork,3.0,Environmental,Operations,OP,OP-6,Greenhouse Gas Emissions,Complete,10.63,16.0
University College Cork,3.0,Environmental,Operations,OP,OP-7,Dining Service Procurement,Complete,5.8,8.0
University College Cork,3.0,Environmental,Operations,OP,OP-8,Food Recovery,Complete,2.0,2.0
University College Cork,3.0,Environmental,Operations,OP,OP-9,Sustainable Procurement System,Complete,2.15,7.0
University College Cork,3.0,Environmental,Operations,OP,OP-10,Purchased Goods,Complete,1.13,4.0
University College Cork,3.0,Environmental,Operations,OP,OP-11,Materials Management,Complete,3.0,4.0
University College Cork,3.0,Environmental,Operations,OP,OP-12,Waste Generation and Recovery,Complete,3.99,5.0
University College Cork,3.0,Environmental,Operations,OP,OP-13,Vehicle Fleet,Complete,0.67,2.0
University College Cork,3.0,Environmental,Operations,OP,OP-14,Commute Modal Split,Complete,4.83,6.0
University College Cork,3.0,Environmental,Operations,OP,OP-15,Air Travel,Complete,0.0,2.0
University College Cork,3.0,Governance,Planning & Administration,PA,PA-1,Sustainability Coordination,Complete,1.0,1.0
University College Cork,3.0,Governance,Planning & Administration,PA,PA-2,Commitments and Planning,Complete,5.67,6.0
University College Cork,3.0,Governance,Planning & Administration,PA,PA-3,Institutional Governance,Complete,4.0,4.0
University College Cork,3.0,Governance,Planning & Administration,PA,PA-4,Sustainable Investment Program,Complete,3.33,4.0
University College Cork,3.0,Governance,Planning & Administration,PA,PA-5,Investment Holdings,Complete,1.93,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-6,Institutional Climate,Complete,3.0,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-7,Racial and Ethnic Representation,Complete,1.2,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-8,Gender Parity,Complete,2.0,2.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-9,Affordability and Access,Complete,2.0,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-10,Student Success,Complete,2.5,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-11,"Health, Safety and Wellbeing",Complete,3.0,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-12,Employee Rights,Complete,3.0,3.0
University College Cork,3.0,Social,Planning & Administration,PA,PA-13,Pay Equity and Living Wage,Complete,3.8,5.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-5,Open Online Sustainability Course,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-24,Biodiversity Assessment,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-29,Zero Emission Grounds Equipment,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-30,Energy System Certification,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-58,Universal Design,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-65,Innovation A,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-66,Innovation B,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-67,Innovation C,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-68,Innovation D,Complete,1.0,1.0
University College Cork,3.0,Bonus,Innovation & Leadership,IL,IL-69,Innovation E,Complete,1.0,1.0
Technological University Dublin,3.0,Preface,Report Preface,PRE,PRE-1,Executive Letter,Complete,,
Technological University Dublin,3.0,Preface,Report Preface,PRE,PRE-2,Points of Distinction,Complete,,
Technological University Dublin,3.0,Preface,Report Preface,PRE,PRE-3,Institutional Characteristics,Complete,,
Technological University Dublin,3.0,Preface,Report Preface,PRE,PRE-4,Reporting Methodologies,Complete,,
Technological University Dublin,3.0,Context,Academics,AC,AC-1,Sustainability Course Offerings,Complete,14.0,14.0
Technological University Dublin,3.0,Context,Academics,AC,AC-2,Undergraduate Programs,Complete,13.28,15.0
Technological University Dublin,3.0,Context,Academics,AC,AC-3,Graduate Programs,Complete,8.0,8.0
