institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type,links
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Additional documentation for this credit,,,,not_reported,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Total number of academic departments that offer courses that may be taken for credit,129,,129.0,number,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Number of academic departments with at least one sustainability course offering,113,,113.0,number,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Annotated list or inventory of the institution’s sustainability course offerings by department,Final_STARS_Course__Department_File_2024.2.10.2024.xlsx,,,text,https://reports.aashe.org/media/secure/443/9/846/8950/Final_STARS_Course__Department_File_2024.2.10.2024.xlsx
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to identify the institution’s sustainability course offerings by department,"Courses were identified as Sustainability Focused or Related based on a review of their title and course description from the UC Berkeley Guide. Using a programmed word search, we first identified any courses that contained at least one sustainability related word from the STARS recommended word list. All courses were then manually reviewed by Berkeley Sustainability Office staff for final categorization. This year's submission maintained the categorization of courses completed for the 2020 submission, based on title and description in the Berkeley guide. Any new courses added since then were reviewed in 2024. An important note on this year's methohdology is that unlike in prior years, no attempt was made to review the ""Special Titles"" and one time course descriptions used for courses with rotating one time topics.",,,text_long,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Percentage of departments with sustainability course offerings,87.60,,87.6,number,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.1,7.01,,7.01,number,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Does the institution maintain a public multidisciplinary listing of its sustainability course offerings as a resource for current and prospective students?,Yes,,,boolean,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Online location where the institution’s sustainability course listings are maintained,https://sustainability.berkeley.edu/engage/take-classes,,,url,https://sustainability.berkeley.edu/engage/take-classes
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Publication where the institution’s sustainability course listings are maintained,2005_Campus_Sustainability_Assessment.pdf,,,text,https://reports.aashe.org/media/secure/443/9/846/8955/2005_Campus_Sustainability_Assessment.pdf
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to create and maintain the institution’s sustainability course listings,"https://sustainability.berkeley.edu/engage/take-classes Subject matter experts were consulted to access the database of course offerings at UC Berkeley: Dr. Kira Blaisdell-Sloan and Matthew Betts from the UC Berkeley Office of Planning & Analysis. Their office utilized custom queries that search for AASHE's curated list of sustainability keywords within the course catalog descriptions. Courses are flagged as sustainability-focused and sustainability-inclusive based on the presence or absence of said keywords. The output of the query is then reviewed and validated by four UC Berkeley undergraduate sustainability fellows in order to confirm if the results of the query are accurate. Each year, as courses are discontinued or created, the sustainability course offerings list is updated. Graduate courses are those numbered 200 and above. Some courses were offered in undergraduate and graduate versions. “Focused”: a course that views topics through the lens of sustainability. This does not mean that the word “sustainability” needs to be in the course description, it simply means that the topics of the course almost exclusively pertain to the definition of sustainability from above. “Inclusive”: a course that devotes at least one unit or section to a sustainability topic or has direct applications in sustainability fields.",,,url,https://sustainability.berkeley.edu/engage/take-classes
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.2,3,,3.0,number,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Does the institution provide incentives for individual academic staff working to integrate sustainability into the curriculum to pursue relevant professional development and/or training?,Yes,,,boolean,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Narrative and/or website URL providing an overview of the incentives provided for individual academic staff to integrate sustainability into the curriculum,"UC Berkeley has entire schools and colleges dedicated to issues related to sustainability, such as the Rausser College of Natural Resources and the College for Environmental Design. Faculty and other instructors are compensated specifically to teach sustainability issues in programs of study dedicated to sustainability. In addition, they are compensated to partner with other schools and colleges to integrate issues of sustainability into general courses and interdisciplinary programs . For example, the College of Computing, Data Science, and Society offers interdisciplinary programs of study for undergraduate data science majors in Environment, Resource Management, and Society as well as Sustainable Development and Engineering . These programs of study are multidisciplinary in nature, where departments such as history or economics run courses to examine sustainability through the lens of their discipline. Additionally, academic staff are recognized for their efforts through sustainability reporting. The Chancellor's Advisory Committe on Sustainability gives awards to UC Berkeley faculty, instructors, staff and students during Earth Month's Annual Sustainabiltiy Summit and the Annual Sustainabiltiy Awards program. Among other categories awardees are those who work on including sustainabiltiy into the graduate and undergraduate curriculum, including DeCal Sustainability Courses. https://sustainability.berkeley.edu/news/uc-berkeley-celebrated-2024-cacs-sustainability-awardees ]",,,text_long,https://cdss.berkeley.edu/dsus/academics/domain-emphasis/environment-resources-society https://cdss.berkeley.edu/dsus/academics/domain-emphasis/sustainable-dev-and-engineering https://sustainability.berkeley.edu/news/uc-berkeley-celebrated-2024-cacs-sustainability-awardees
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,"Does the institution host an ongoing multidisciplinary community of practice, sustainability across the curriculum training program, or equivalent support program for academic staff who are working to integrate sustainability into the curriculum?",Yes,,,boolean,
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,"Narrative and/or website URL providing an overview the institution’s sustainability-focused community of practice, sustainability across the curriculum training program, or equivalent support program","The Office of Sustainability, in partnership with faculty from across campus disciplines, offers annual workshops to support and incentivize other faculty to integrate the sustainability concepts into courses. Sustainabiltiy Training and Workshops: https://sustainability.berkeley.edu/office-sustainability/os-projects See an example of a workshop flyer: https://drive.google.com/file/d/17pjzglcV-QWCOhRH8AjWwh8l8bStvOcp/view The workshops focus on incentivizing and supporting other teachers to integrate the concept of sustainability into their courses, with the goal of improving student literacy in sustainability and climate change solutions. Over 50 instructors have participated so far from a range of disciplines including non-traditional sustainability fields. The broad campus impact is apparent, results from just one workshop included 11 courses transformed with sustainability concepts, with a combined student impact of nearly 1,000 students! Academic staff are incentivized to integrate the concept of sustainability into their courses. • Brainstorm ideas for including sustainability principles in curricula across campus – from art history to literature to gender studies to environmental science • Expand the range and definitions of sustainability beyond traditional disciplines • Leave with creative, concrete ways to help your students explore important sustainability concepts A toolkit of resources is provided to participants, and the organizing group offers follow-up and check-in's to support collaborative thinking for developing sustainability courses. The workshop is offered free of charge. The participating staff is recognized via sustainability reporting.",,,text_long,https://sustainability.berkeley.edu/office-sustainability/os-projects https://drive.google.com/file/d/17pjzglcV-QWCOhRH8AjWwh8l8bStvOcp/view
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.3,3,,3.0,number,
