institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type,links
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution have an emergency assistance fund that provides grants or interest-free loans to students who are experiencing financial difficulties?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s emergency assistance fund for students,The Student Assistance Fund provides financial assistance for full-time higher education students who are experiencing financial difficulties while attending college. More information can be found here: https://www.ucc.ie/en/sfsa/saf/,,,text_long,https://www.ucc.ie/en/sfsa/saf/
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,"Does the institution have a food bank/pantry, meal donation program, or similar initiative that provides food at no cost to students experiencing food insecurity?",Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s student food security initiatives,"The UCC Student Pantry, led by UCC Green Campus and the Students’ Union in partnership with FoodCloud, redistributes surplus food like vegetables and pantry staples to students each week. Stocked with essentials such as carrots, potatoes, cornflakes, and many more food items, the pantry helps tackle food insecurity among students while preventing good food from going to waste. This initiative is made possible through UCC’s partnership with FoodCloud, an organisation addressing climate change and food insecurity by connecting businesses with surplus food to communities that can use it. By leveraging technology to match supply and demand, FoodCloud simplifies collaboration and enables partners like UCC to create lasting, positive impact. https://www.ucc.ie/en/sustainability-climate-action/news/ucc-student-pantry-fights-food-waste.html",,,text_long,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Points earned for indicator PA 11.1,1.00,,1.0,number,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution make physical health services available to employees?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s physical health services for employees,"UCC staff can avail of free health screening as well as a free digital GP service through the University's Embark portal. More information can be found here: https://www.ucc.ie/en/hr/benefits/icp/ Day to day health and wellbeing services are also provided through the university's Spectrum Life portal. The portal is acts as a personalised wellbeing app, with access to hours of wellbeing content. Topics covered are based on the three core areas of mental wellbeing, nutrition and exercise. Staff can track steps and kilometres exercise, find recipes, log and track calories, find fitness plans & classes to suit your needs, and complete courses in stress management, sleeping better, dealing with anxiety and more.",,,text_long,https://www.ucc.ie/en/hr/benefits/icp/
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution make behavioral health services available to employees?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s behavioral health services for employees,"UCC's Employee Assistance Service (EAS) is provided by SPECTRUM.LIFE, our Employee Assistance Provider (EAP). This is a confidential counselling service, providing support to employees, in addition to their spouse, civil partner or dependant, where the family member can be described as a person over the age of 16 and residing in the family home. The EAS can help with a wide variety of problems and can support anyone suffering with issues including but not limited to: Depression, anxiety, stress, Grief and bereavement Addictions Work stress and work-life balance Relationships and marital problems Workplace conflict and communication Life transitions such as career progressions or retirement Parenting problems It is available 24/7, 365 days a year covering numerous topics such as; counselling, infertility & pregnancy loss, elder care support, parent coaching, international employee support and more.",,,text_long,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution make free or reduced cost fitness activities available to employees?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s fitness activities for employees,Staff can avail of special discounted membership at the University's Mardyke Arena: https://www.mardykearena.com/ucc-staff/,,,text,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution make contemplative and/or spiritual activities available to employees?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s contemplative and spiritual activities for employees,"As a UCC Department for Wellbeing and Health, the Chaplaincy is an inclusive service that offers a space for community, conversation, support, guidance, and enrichment for all students and staff at UCC. The chaplaincy supports all UCC students and staff, regardless of gender, age, ethnicity, disability, family status, sexual orientation, marital status, religious/non-religious background, or spirituality. More information is available here: https://www.ucc.ie/en/chaplaincy/what/",,,text_long,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution have an institution-wide health and safety committee or network of committees that brings together workers and management in the development and review of workplace health and safety policies and procedures?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,"The University has a Safety Representative Forum. The aim of the Forum is to enhance the Safety, Health and Welfare of employees at work and help safeguard students and others affected by the work of UCC and secure legal compliance through consultation. Staff safety reps : Represent staff on Safety, Health and Welfare matters (e.g. on a Safety Action Team/Committee or other group) Carry out safety tours of workplaces on request Review Accident/Dangerous Occurrence reports and contribute if appropriate Contribute to initiatives that improve Safety Culture, raise Safety, Health & Welfare awareness etc., all very much focused on the employees point of view. More information is available here: https://www.ucc.ie/en/ocla/erm/healthandsafety/managinghealthsafety/staffsafetyreps/",,,text_long,https://www.ucc.ie/en/ocla/erm/healthandsafety/managinghealthsafety/staffsafetyreps/
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution have an emergency assistance fund that provides grants or interest-free loans to employees who are experiencing financial difficulties?,No,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s emergency assistance fund for employees,,,,not_reported,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Points earned for indicator PA 11.2,1,,1.0,number,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution prohibit smoking within all occupied buildings owned or leased by the Institution?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution restrict outdoor smoking?,Yes,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Does the institution prohibit smoking and tobacco use across the entire campus?,No,,,boolean,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Narrative and/or website URL providing an overview of the institution’s smoke-free policies,"UCC Smoking Policy As and from the 29th March 2004, under public health legislation, smoking is prohibited in all University buildings and enclosed workplaces including University vehicles. This applies to all persons. The limited exceptions as specified in Section 47 of the Public Health Tobacco Regulations (current edition) also operates. Details are available from the Office of Tobacco Control and the Health & Safety Authority. Note: This policy also covers e-vapour smoking/vaping",,,text_long,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Points earned for indicator PA 11.3,1,,1.0,number,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Notes about the information provided for this credit,,,,not_reported,
University College Cork,PA-11,PA,Social,"Health, Safety and Wellbeing",,Additional documentation for this credit,,,,not_reported,
University College Cork,PA-12,PA,Social,Employee Rights,,Number of weeks of paid maternity leave,26,,26.0,number,
University College Cork,PA-12,PA,Social,Employee Rights,,Narrative and/or website URL providing an overview of the maternity leave options available to employees,Under the maternity legislation all women are entitled to 42 weeks maternity leave. Payment of maternity leave may be sourced both from the Department of Social Welfare and/or the University. The 42 week entitlement is divided into 26 weeks paid and an additional 16 weeks unpaid. Entitlements to paid leave and unpaid leave are outlined in the Universities maternity leave policy. Employees are entitled to full pay for twenty six (26) weeks. For more information see https://www.ucc.ie/en/hr/policies/leave/maternity/,,,text_long,https://www.ucc.ie/en/hr/policies/leave/maternity/
University College Cork,PA-12,PA,Social,Employee Rights,,Points earned for indicator PA 12.1,1,,1.0,number,
University College Cork,PA-12,PA,Social,Employee Rights,,Percentage of employees eligible for paid all-gender family/medical leave,100,,100.0,number,
University College Cork,PA-12,PA,Social,Employee Rights,,Narrative and/or website URL providing an overview of the institution’s eligibility criteria for paid family/medical leave,"There are a number of different leave types available to all staff of UCC, regardless of gender. These include: Sick leave Adoptive Leave Parent's leave Pregnancy loss leave Carer's leave Information on these leave types can be found here: https://www.ucc.ie/en/hr/policies/leave/",,,text_long,https://www.ucc.ie/en/hr/policies/leave/
University College Cork,PA-12,PA,Social,Employee Rights,,Points earned for indicator PA 12.2,1,,1.0,number,
University College Cork,PA-12,PA,Social,Employee Rights,,Does the institution publish information on anti-harassment in a format that is accessible to all employees?,Yes,,,boolean,
University College Cork,PA-12,PA,Social,Employee Rights,,Does the institution publish information on grievance resolution in a format that is accessible to all employees?,Yes,,,boolean,
University College Cork,PA-12,PA,Social,Employee Rights,,Does the institution publish information on whistleblower protections in a format that is accessible to all employees?,Yes,,,boolean,
University College Cork,PA-12,PA,Social,Employee Rights,,Does the institution publish information on freedom of association in a format that is accessible to all employees?,Yes,,,boolean,
University College Cork,PA-12,PA,Social,Employee Rights,,Narrative and/or website URL providing an overview of the institution’s published measures to protect employee rights,https://www.ucc.ie/en/edi/sexual-violence-harassment-framework/ https://www.ucc.ie/en/hr/policies/relations/grievance/ https://www.ucc.ie/en/ocla/policy/disclosures-policy/ Freedom of Association is a fundamental right under the irish constitution and https://www.citizensinformation.ie/en/government-in-ireland/irish-constitution-1/constitution-fundamental-rights/ Information on the UCC Trade Union IFUT is available here: https://www.ucc.ie/en/rsa/our-partners/ifut/,,,url,https://www.ucc.ie/en/edi/sexual-violence-harassment-framework/ https://www.ucc.ie/en/hr/policies/relations/grievance/ https://www.ucc.ie/en/ocla/policy/disclosures-policy/ https://www.citizensinformation.ie/en/government-in-ireland/irish-constitution-1/constitution-fundamental-rights/ https://www.ucc.ie/en/rsa/our-partners/ifut/
University College Cork,PA-12,PA,Social,Employee Rights,,Points earned for indicator PA 12.3,1,,1.0,number,
University College Cork,PA-12,PA,Social,Employee Rights,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,PA-12,PA,Social,Employee Rights,,Additional documentation for this credit,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,"Has the institution conducted one or more internal pay equity assessments during the previous three years to identify disparities that are not attributable to skills, responsibilities, or level of experience?",Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Description of the methodologies used to assess internal pay equity,"The report measures - 1. Mean Gender Pay Gap The mean is the average hourly rate of pay. The mean gender pay gap shows the percentage difference between the average hourly pay of men and women across the whole organisation. It is calculated by adding up all hourly earnings for women, and for men, and dividing each total by the number of employees in that group. The mean pay gap is often influenced by the number of men and women in the highest-paid roles. 2. Median Gender Pay Gap The median represents the middle value when all employees’ hourly pay is ranked from highest to lowest. The median gender pay gap compares the pay of the middle-paid woman to the middle-paid man. It is calculated by ranking all employees from the highest paid to the lowest paid and taking the hourly wage rate of the person in the middle of the relevant group The median is less affected by very high or very low salaries and shows a more typical pay difference. In addition to mean and median hourly pay, we are also required to report on: Bonus pay gaps (mean and median) Pay gaps for part-time and temporary employees Proportion of men and women in each pay quartile (from lowest to highest-paid) All full-time, part-time and temporary employees who received pay in the 12-month period leading up to the snapshot date which is 30 June 2025. Staff are only included if they were in receipt of pay during this period. Employees on unpaid leave are excluded, in line with national regulations.",,,text_long,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Are the pay equity assessment(s) inclusive of both academic and non-academic staff?,Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Do the pay equity assessment(s) explicitly address pay equity by gender identity?,Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,"Do the pay equity assessment(s) explicitly address internal pay equity by racial, ethnic, and/or Indigenous identity?",No,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Does the institution publish the results of its internal pay equity assessments?,Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Published results of the institution’s most recently finalized internal pay equity assessment,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Online resource where the results of the institution’s internal pay equity assessments are available,https://www.ucc.ie/en/media/aboutucc/presidentx27soffice2024/plansandreports/uccreportspdfs/V3EDIGenderPayGapReport2025.pdf,,,url,https://www.ucc.ie/en/media/aboutucc/presidentx27soffice2024/plansandreports/uccreportspdfs/V3EDIGenderPayGapReport2025.pdf
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Points earned for indicator PA 13.1,0.80,,0.8,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Is the institution a third party accredited living wage employer?,No,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Narrative and/or website URL detailing the institution’s living wage accreditation,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Local currency code,EUR,,,text,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Performance year for living wage,2025,,2025.0,year,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Living wage,15.40,,15.4,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Standard or methodology used to determine the living wage,https://www.livingwage.ie/,,,url,https://www.livingwage.ie/
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Wage floor for regular/permanent employees,16.40,,16.4,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Wage floor for short-term/casual academic staff,20.83,,20.83,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Wage floor for short-term/casual non-academic staff,18.93,,18.93,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Percentage of employees that receive remuneration equivalent to at least a living wage,100,,100.0,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Narrative outlining the forms of remuneration included in the living wage calculations,"According to the University Salary Scales and Resaerch Salary Scales . The lowest wage payment is 27,679 for Clerical Off/Lib Assistant I/Grd 3 level and maximum working hour is 37/week (7.4/day) (including at least 22 days of annual leave and 10 public holidays). 27,679 / (52*5 - 10 - 22) / 7.4 = €16.40/hour. For weekly paid employees, the lowest payment is 700.47 for General Op level, 700.47 / 37 = €18.93/hour. Student pay rates are not included.",,,text_long,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Has the institution made a formal commitment to pay a living wage?,Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Narrative and/or website URL detailing the institution’s formal commitment to pay a living wage,The salaries of University staff are determined having regard to the policy relating to pay and conditions in the public service as determined from time to time by the Government.,,,text,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Points earned for indicator PA 13.2,3,,3.0,number,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Does the institution have one or more significant contractors?,Yes,,,boolean,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Documentation affirming that the institution has no significant contractors,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Total number of significant contractors,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Number of significant contractors known to pay a collectively determined or living wage,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Description of the methodology used to determine which significant contractors pay a collectively determined or living wage,Insufficient data for this credit.,,,text,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Percentage of significant contractors that pay a collectively determined or living wage,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Points earned for indicator PA 13.3,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,PA-13,PA,Social,Pay Equity and Living Wage,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-5,IL,Bonus,Open Online Sustainability Course,,"Does the institution offer a free, sustainability-focused course on the public internet?",Yes,,,boolean,
University College Cork,IL-5,IL,Bonus,Open Online Sustainability Course,,"Narrative and/or website URL providing an overview of the institution’s free, online sustainability course","UW0005 - University Wide Module In Sustainability. ‘Putting education for sustainability in its place: put yourself in the Picture’ An online university wide module in sustainability developed through partnership and collaboration across all sectors of UCC campus and beyond. A fundamental focus of the development of the module was and is around sustainability citizenship. To provide students with a broadly based interdisciplinary introduction to sustainability issues as a foundation for 'sustainability citizenship'. It has been developed freely by all participants involved in course and content and is provided freely to all participants enrolling. The module is open to students and staff of the university as well as the general public. The module is available for additional credit, Continuing Professional Development, or a UCC Green Campus Digital Badge. More information regarding the online Sustainability module is here: https://www.ucc.ie/en/sustainability-climate-action/education/sustainability-module/",,,text_long,https://www.ucc.ie/en/sustainability-climate-action/education/sustainability-module/
University College Cork,IL-5,IL,Bonus,Open Online Sustainability Course,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-5,IL,Bonus,Open Online Sustainability Course,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Has the institution conducted a baseline biodiversity assessment that is inclusive of the entire campus?,Yes,,,boolean,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Narrative and/or website URL outlining the methodology and results of the institution’s biodiversity assessment,"See attached document, this comprehensive assessment included desk and field studies to identify habitat and species types across campus, as well as make recommendations for their management and conservation.",,,text_long,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,"List of endangered and vulnerable species with habitats on campus, by level of extinction risk","Over 450 different species of wild/naturalised plant, animal & fungi have been recorded on UCC campus. This includes species with breeding, foraging and resting habitats on campus, and migratory species observed passing through/overhead. Species inventories gathered during biodiversity surveys for UCC Biodiversity Management Plan and BioBlitz records were cross referenced with the National Parks & Wildlife Service Inventory of Protected & Threatened Species in Ireland to identify species of conservation interest. Species with international protection/legal status, or threatened status or above are presented in the attached document. These include mammals, birds, fish and bryophytes.",,,text_long,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Narrative outlining how the baseline biodiversity assessment is used to protect or positively affect the areas and species identified,The assessment includes an action plan for management of all habitats and green spaces on campus.,,,text,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Has the institution conducted a less comprehensive biodiversity assessment within the previous three years?,No,,,boolean,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Description of the institution’s less comprehensive biodiversity assessment,,,,not_reported,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-24,IL,Bonus,Biodiversity Assessment,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Is the institution able to demonstrate that at least 90 percent of the equipment used by its landscaping/grounds services is zero emission?,Yes,,,boolean,
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Online resource affirming that the 90 percent target for zero emission landscape maintenance equipment has been reached,https://www.ucc.ie/en/greencampus/practice/landscape-heritage-and-natural-resources/,,,url,https://www.ucc.ie/en/greencampus/practice/landscape-heritage-and-natural-resources/
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Document affirming that the 90 percent target for zero emission landscape maintenance equipment has been reached,,,,not_reported,
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Description of the institution’s transition to zero emission landscape maintenance equipment,"See pop out box on ""Habitats and their Management"" at the above link, which details that all grounds tools have been replaced with battery operated models and grounds vehicles have been replaced by EVs.",,,text_long,
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-29,IL,Bonus,Zero Emission Grounds Equipment,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,"Does the institution have an energy management system or electricity delivery system that is certified under ISO 50001, PEER, or an equivalent national or international standard approved by AASHE?",Yes,,,boolean,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,Narrative and/or website URL providing information about the institution’s energy system certifications,"In November 2011, UCC became the first third level institution worldwide to achieve the ISO 50001 standard. UCC was also the first public sector body in Ireland to be certified to ISO 50001. The University is committed to responsible energy management as part of our overall environmental strategy and has a long track record in energy management, assisted with grant and technical support from the Sustainable Energy Authority of Ireland (SEAI) to support energy saving initiatives. We recognise that our activities impact upon the environment and we are particularly mindful of our environmental responsibilities in local, national and global terms. https://www.ucc.ie/en/greencampus/practice/energy-water-and-climate-change/iso-50001/",,,text_long,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,Has the institution successfully completed the US Department of Energy's 50001 Ready program or AASHE-approved equivalent?,,,,not_reported,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,Narrative and/or website URL providing information about the institution’s participation in the 50001 Ready program or equivalent,,,,not_reported,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-30,IL,Bonus,Energy System Certification,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-58,IL,Bonus,Universal Design,,Does the institution have published universal design (UD) guidelines or principles that exceed or are additional to regulatory compliance and apply to the entire institution?,Yes,,,boolean,
University College Cork,IL-58,IL,Bonus,Universal Design,,Narrative and/or website providing information about the institution’s universal design guidelines or principles,"See guidelines and supports at the following link: https://www.ucc.ie/en/cirtl/resources/shortguides/shortguide6universaldesignforlearning/#universal-design-for-learning-guidelines UCC's guidelines specify that, UDL is not: A checklist for you to tick things off of to be accessible. A box ticking diversity exercise. Something completely new that you have to do on top of your usual work. Instead, UDL should help you in the decisions you make every day/month/year as a practitioner in how you tweak and deliver your programmes. UCC's approach is based on the CAST UDL guidelines: https://udlguidelines.cast.org/static/udlg_graphicorganizer_v2-2_numbers-no.pdf",,,text_long,https://www.ucc.ie/en/cirtl/resources/shortguides/shortguide6universaldesignforlearning/#universal-design-for-learning-guidelines https://udlguidelines.cast.org/static/udlg_graphicorganizer_v2-2_numbers-no.pdf
University College Cork,IL-58,IL,Bonus,Universal Design,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-58,IL,Bonus,Universal Design,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-65,IL,Bonus,Innovation A,,"Name of the innovative outcome, program, or initiative",The Glucksman Gallery Art and Sustainability,,,text,
University College Cork,IL-65,IL,Bonus,Innovation A,,"Does the innovation represent a new, extraordinary, unique, ground-breaking, or uncommon outcome, program, or initiative that addresses a sustainability challenge and is not covered by an existing credit?",Yes,,,boolean,
University College Cork,IL-65,IL,Bonus,Innovation A,,Narrative and/or website URL providing an overview of the innovation,"UCC's Glucksman Gallery is a leading museum nationally and internationally for creative learning and access to the visual arts. It's Strategic Plan highlights Sustainability as a guiding value and one of its five Strategic Goals is to ""Provide climate aware care and sustainable professional development for the University College Cork art collection."" https://www.glucksman.org/content/files/Files_Policies/StrategicPlan2024-2029.pdf?v=1746108945 An example of the types of projects run by the Gallery is ""Seeds of Change"", where the Glucksman invited students from Cappabue National School, Coláiste Pobail Bheanntraí, Gaelscoil Bheanntraí and St. Brendan’s National School to participate in a project that raised awareness of sustainable futures through art. Each school was loaned an artwork from the University College Cork Art Collection through the Art Library programme. https://www.glucksman.org/projects/seedsofchange",,,text_long,https://www.glucksman.org/content/files/Files_Policies/StrategicPlan2024-2029.pdf?v=1746108945 https://www.glucksman.org/collection/campus-art https://www.glucksman.org/collection/art-library https://www.glucksman.org/projects/seedsofchange
University College Cork,IL-65,IL,Bonus,Innovation A,,Notes about the information provided for this credit,Further information on Green Campus and Glucksman collaborations can be found here: http://www.glucksman.org/discover/education/schools and here http://www.glucksman.org/discover/community/climate-action-andsustainability,,,text_long,
University College Cork,IL-65,IL,Bonus,Innovation A,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-66,IL,Bonus,Innovation B,,"Name of the innovative outcome, program, or initiative",SDSN Ireland contributes to Ireland's Voluntary National Review on SDGs,,,text,
University College Cork,IL-66,IL,Bonus,Innovation B,,"Does the innovation represent a new, extraordinary, unique, ground-breaking, or uncommon outcome, program, or initiative that addresses a sustainability challenge and is not covered by an existing credit?",Yes,,,boolean,
University College Cork,IL-66,IL,Bonus,Innovation B,,Narrative and/or website URL providing an overview of the innovation,"Through its role as co-host of Ireland's Sustainable Development Solutions Network, UCC was invited to prepare a chapter on the Irish Higher Education sectors contribution to the SDGs within Ireland's Voluntary National Review submitted to the UN in January 2023. The chapter highlighter how the higher education sector can be seen as a microcosm of broader society and contributes to sustainability through its activities in learning and teaching, research, operations and engagement. It drew together a selection of case studies highlighting the depth and breadth of these activities and can be found here: https://assets.gov.ie/static/documents/irelands-voluntary-national-review-2023.pdf This work is a tangible example of the many ways in which SDSN Ireland is supporting both local and national government in both the implementation and communication of the SDGs.",,,text_long,https://assets.gov.ie/static/documents/irelands-voluntary-national-review-2023.pdf
University College Cork,IL-66,IL,Bonus,Innovation B,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-66,IL,Bonus,Innovation B,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-67,IL,Bonus,Innovation C,,"Name of the innovative outcome, program, or initiative",University of Sanctuary Status,,,text,
University College Cork,IL-67,IL,Bonus,Innovation C,,"Does the innovation represent a new, extraordinary, unique, ground-breaking, or uncommon outcome, program, or initiative that addresses a sustainability challenge and is not covered by an existing credit?",Yes,,,boolean,
University College Cork,IL-67,IL,Bonus,Innovation C,,Narrative and/or website URL providing an overview of the innovation,"In 2018, UCC was awarded the title of University of Sanctuary by People of Sanctuary Ireland in recognition of their efforts in promoting the welfare of vulnerable refugees and asylum seekers. UCC is proud to fulfil its sanctuary mission through a range of activities including: Sanctuary Scholarships and Fellowships Refugee Week A series of Public Talks and Engagements Research Excellence UCC is a member of the Scholars at Risk Network and also participates in University of Sanctuary Ireland and the IUA Sanctuary Network. UCC staff and students have a strong history of coming together to stand with those whose lives have been devastated by the effects of war and invasion. University of Sanctuary activities are advanced and coordinated with the support of a Sanctuary Subcommittee which reports to the ULT Global Engagement Committee. University College Cork is actively advancing its Palestine Solidarity Response, delivering on a range of commitments designed to advance transparency and accountability in all our partnerships, while working to support education and scholarship with our Palestinian colleagues. UCC believes that by working together with all our stakeholders, significant and meaningful action can give effect to our common objectives in the support of global peace and human rights. In May 2024, University College Cork set up an Emergency Response Working Group, as one of a number of commitments to support the education of Palestinian students and scholars displaced or at risk as a result of the conflict in Gaza. The aim of the Group was to report to the President on a programme of work to address the immediate educational needs of Palestinian students and scholars displaced or at risk and examine how UCC can provide support. The work of the Group took place against the backdrop of critical and urgent need in Gaza and taking account of the University of Sanctuary framework.",,,text_long,
University College Cork,IL-67,IL,Bonus,Innovation C,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-67,IL,Bonus,Innovation C,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-68,IL,Bonus,Innovation D,,"Name of the innovative outcome, program, or initiative",Digital Cleanup,,,text,
University College Cork,IL-68,IL,Bonus,Innovation D,,"Does the innovation represent a new, extraordinary, unique, ground-breaking, or uncommon outcome, program, or initiative that addresses a sustainability challenge and is not covered by an existing credit?",Yes,,,boolean,
University College Cork,IL-68,IL,Bonus,Innovation D,,Narrative and/or website URL providing an overview of the innovation,"In April 2025, UCC launched its first ""Digital Cleanup Day"", which included an awareness campaign with information sessions and practical workshops, enabling individuals to learn about how to reach ""Inbox Zero"" and a guide to undertaking a Digital Declutter. Every School and function was encouraged to pledge a day between April and June to dedicate to their collective digital decluttering eff ort. A total of 820 hours were pledged. UCC Digital Clean-Up Day is part of a global movement . The initiative was run through the Continuous Improvement Action Network in collaboration with The Students’ Union, Sustainability and Climate Action, IT Services, Centre for Digital Education, Marketing and Brand Impact and Staff Development and Wellbeing. More information is available here https://www.ucc.ie/en/sustainability-climate-action/news/uccs-first-digital-cleanup-day.html In 2026 the Digital Declutter has been upgraded to a week of activities aimed at highlighting the impact of our digital footprint and ways to remedy this.",,,text_long,https://www.digitalcleanupday.org/ https://www.ucc.ie/en/sustainability-climate-action/news/uccs-first-digital-cleanup-day.html
University College Cork,IL-68,IL,Bonus,Innovation D,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,IL-68,IL,Bonus,Innovation D,,Additional documentation for this credit,,,,not_reported,
University College Cork,IL-69,IL,Bonus,Innovation E,,"Name of the innovative outcome, program, or initiative",UCC Sustainability Academy,,,text,
