institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.2,3,,3.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Does the institution provide incentives for individual academic staff working to integrate sustainability into the curriculum to pursue relevant professional development and/or training?,Yes,,,boolean
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Narrative and/or website URL providing an overview of the incentives provided for individual academic staff to integrate sustainability into the curriculum,"TU Dublin created the Sustainability Office with a VP of Sustainability (Jennifer Boyer). Incentives for academic staff to integrate sustainability in the curriculum are supported by the TU Dublin Strategic Intent (Ref1) and Strategic Plan' KPIs (Ref2). The Sustainability Education team are five academic staff (Ref3) who have been seconded to the Sustainability team to support all academic staff as they integrate sustainability in the curriculum with TU Dublin being ""recognised as the first Centre for Sustainability Across the Curriculum in Europe"" (Ref4). Staff who are integrating sustainability into the curriculum are supported by seed funding grants of €5,000 to implement projects. Eight of the projects listed on this webpage (Ref5) are sustainability focused, e.g. "" Introducing Sustainability Development Goal problems in Maths Education""; ""A case study on the effects of sustainability-oriented work placement on student mindset"". TU Dublin also provided funded Fellowships for staff to complete ESD projects: Ref6. Staff who completed the Digital Badge in Education for Sustainability (Ref7) received “a bursary of €500 to implement sustainability-related innovative pedagogical approaches in their TLA (Teaching Learning & Assessment) practice.” URL References: Ref1: https://www.tudublin.ie/explore/about-the-university/strategicintent/2030/ Ref2: https://www.tudublin.ie/media/website/explore/about-the-university/strategic-plan/documents/Strategic-Plan-2024-2028-FINAL.pdf Ref3: https://www.tudublin.ie/explore/about-the-university/sustainability/about/sustainability-team/sustainability-education/ Ref4: https://www.tudublin.ie/explore/news/archive-2024/tu-dublin-is-recognised-as-the-first-centre-for-sustainability-across-the-curriculum-in-europe.html Ref5: https://www.tudublin.ie/explore/about-the-university/academic-affairs/digital-education/building-organisational-digital-capability/projects/ Ref6: https://www.tudublin.ie/explore/about-the-university/academic-affairs/ntutorr/partners/fellowships/education-for-sustainability/ Ref7: https://www.tudublin.ie/explore/about-the-university/sustainability/about/news-and-events/education-for-sustainability-digital-badge-2025.php",,,text_long
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,"Does the institution host an ongoing multidisciplinary community of practice, sustainability across the curriculum training program, or equivalent support program for academic staff who are working to integrate sustainability into the curriculum?",Yes,,,boolean
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,"Narrative and/or website URL providing an overview the institution’s sustainability-focused community of practice, sustainability across the curriculum training program, or equivalent support program","TU Dublin Sustainability Office (Ref1) is composed of 4 functions ""Sustainability Education"", ""Sustainability Intelligence"", ""Societal Engagement"" and ""Decarbonisation"". The first two functions work with staff and students at identifying and integrating sustainability in the curriculum. Within TU Dublin Communities of Practice (Ref2) is the SDG Literacy Community of Practice (Ref3). TU Dublin is also a member of the European University of Technology (Ref4) which include the formation of a sustainability office including 9 university partners. The Eut+ sustainability office remit includes assessing and integrating sustainability in the curriculum. URL References: Ref1: https://www.tudublin.ie/explore/about-the-university/sustainability/ Ref2: https://www.tudublin.ie/explore/about-the-university/academic-affairs/lta/communities-of-practice/ Ref3: https://www.tudublin.ie/explore/about-the-university/sustainability/sustainability-education/sdgliteracy/ Ref4: https://www.tudublin.ie/explore/about-the-university/european-university-of-technology/",,,text_long
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.3,3,,3.0,number
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Notes about the information provided for this credit,,,,not_reported
Technological University Dublin,AC-1,AC,Context,Sustainability Course Offerings,,Additional documentation for this credit,,,,not_reported
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Has the institution established institutional learning outcomes for its undergraduate students?,Yes,,,boolean
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Online resource detailing the institutional learning outcomes for undergraduate students,https://www.tudublin.ie/explore/about-the-university/academic-affairs/lta/lta-resources/graduate-attributes/,,,url
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Publication detailing the institutional learning outcomes for undergraduate students,AC_2.1_TU-Dublin-Strategic-Intent-2030.pdf,,,text
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-focused?,Yes,,,boolean
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-focused,"TU Dublin Strategic Plan mandate ""All programmes will have sustainability as a learning outcome and every learner will engage in practice-based research"" (Ref1). This applies to both undergraduates and postgraduates. The statement applies to both sustainability-focused and sustainability-inclusive/supportive learning outcomes. TU Dublin Academic Council has approved Graduate Attributes, which include the Planet Graduate Attribute: “Planet: Sustainability-focused, global citizens : Socially engaged and responsible graduates leading the sustainability and equity agendas with passion, purpose and resilience Definition: Sustainability–focused, global citizens are defined at TU Dublin as students who have developed the key competencies of embodying sustainability and equity values; embracing complexity in sustainability; envisioning sustainable futures; and acting for sustainability to address the Sustainable Development Goals (SDGs) as set out in Green Comp, the European Sustainability Competence Framework.” (Ref2) The process for implementation of these graduate attributes is set out in the policy document (Ref3) and this notes that: 5.3 “ The TU Dublin Strategic Plan has set out that sustainability-related learning outcomes will be embedded in each programme.” and 5.4 “Faculties and Schools will be supported in the progressive integration of sustainability learning outcomes through resources, tools and supports provided by the University Sustainability Team.” URL References: Ref1: https://www.tudublin.ie/media/website/explore/about-the-university/equality-and-diversity/TU-Dublin-Strategic-Intent-2030.pdf Ref2: https://www.tudublin.ie/explore/about-the-university/academic-affairs/lta/lta-resources/graduate-attributes / Ref3: https://www.tudublin.ie/media/website/explore/about-the-university/academic-affairs/quality-framework/documents/Graduate-Attributes-V1.pd f",,,text_long
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-supportive?,Yes,,,boolean
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-supportive,"TU Dublin Strategic Plan mandate ""All programmes will have sustainability as a learning outcome and every learner will engage in practice-based research"" (Ref1). This applies to both undergraduates and postgradates. The statement applies to both sustainability-focused and sustainability-inclusive/supportive learning outcomes. List and description of sustainability-focused and sustainability-inclusive/supportive modules (including learning outcomes) from undergraduates and post-graduates is made available to STARS with the AC 1.1_sustainability course offerings_revised.xlsx file. URL References: Ref1: https://www.tudublin.ie/media/website/explore/about-the-university/equality-and-diversity/TU-Dublin-Strategic-Intent-2030.pdf",,,text_long
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.1,4,,4.0,number
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,"Does the institution offer at least one sustainability-focused degree, certificate, or major for undergraduate students?",Yes,,,boolean
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,"List and description of the institution’s sustainability-focused degrees, certificates, and majors for undergraduate students","TU Dublin offers undergraduate students the following sustainability-focused programmes: TU838, Sustainable Timber Technology, Undergraduate 4 years Full-time Level 8 Bolton Street, Award: Bachelor of Science (Honours) TU801, Sustainable Energy Engineering, Undergraduate 4 years Full-time Level 8 Tallaght, Award: Bachelor of Engineering (Honours)",,,text_long
Technological University Dublin,AC-2,AC,Context,Undergraduate Programs,,Does the institution offer at least one sustainability-focused concentration or minor for undergraduate students?,Yes,,,boolean
